,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DPM3,4.661719814758144,2.2249849936103585,0.9465569421672678,2.3506087108884963,0.018742731809591726,0.8848987717149318
DPP10,163.64353243205977,-0.9724173969925198,0.41814162450758496,-2.325569472155912,0.0200415297416419,0.8848987717149318
GNAT1,60.63913568579512,1.500926462215704,0.6099288199459095,2.4608223339058006,0.013861899113647276,0.8848987717149318
LRRC1,188.50535046997032,-0.9531762077772222,0.3744346802819961,-2.5456408232788728,0.010907735744596978,0.8848987717149318
KLKB1,167.2053410641444,-0.6388111554470451,0.27017071195743286,-2.3644722657713317,0.018055779208249738,0.8848987717149318
AC096669.1,30.11179923141799,-1.255648851504313,0.5309104679398466,-2.365085880443745,0.018025890347856482,0.8848987717149318
GRK4,26.874631834446255,0.7408667573511104,0.3270864612584486,2.2650486800971925,0.0235096923910119,0.8848987717149318
CNTN4,1244.5934655660385,-0.4994765245890864,0.21675250199841667,-2.3043633636705843,0.021202254776717985,0.8848987717149318
DPH7,18.09518268727771,0.9934480674655968,0.4367901612378289,2.2744286745155686,0.022940225022487333,0.8848987717149318
SF3B5,4.59697906430819,2.1493600498883674,0.9526754958899992,2.2561302974213833,0.024062472199203083,0.8848987717149318
SH3GLB2,12.340934684527424,1.648233204262395,0.7184826293935699,2.2940473949294704,0.021787776510366372,0.8848987717149318
GSKIP,12.836459342226723,1.085412055822405,0.47682725359166944,2.27632134624565,0.022826783410177697,0.8848987717149318
AIPL1,109.02436734997194,1.5225612319628208,0.6209389463304378,2.4520304950441574,0.014205262273957044,0.8848987717149318
CDADC1,59.3411060682343,-1.2826233765065398,0.5354427632989424,-2.3954444142714837,0.016600231047392583,0.8848987717149318
AC020559.1,8.19953538948697,-1.5003192396511191,0.6637942102480081,-2.260217423545419,0.02380776000656845,0.8848987717149318
LRRN2,13.640426072554563,1.4555310573849451,0.6048604018974981,2.406391710911842,0.016110979637027168,0.8848987717149318
DHX16,9.377172171397502,1.1398901425410415,0.49895214963110207,2.2845680560426764,0.02233816779382174,0.8848987717149318
SUCLG2-AS1,101.12601232453473,-0.5514412991525415,0.23773742208772006,-2.319539323300441,0.020365811517092287,0.8848987717149318
NSMCE2,267.82876044597447,-0.4932232091158609,0.2051240567766894,-2.404511771395073,0.016194084664244063,0.8848987717149318
ZNF385A,26.10724425892703,1.4125074222944034,0.5785192107151583,2.441591214487552,0.014622693815622537,0.8848987717149318
PDC,36.76902497480916,1.3780094291524618,0.6006750181845241,2.2941014482629023,0.021784672201394534,0.8848987717149318
PDE10A,1259.780807797552,-1.2112215219834093,0.5265170578104967,-2.3004411804248712,0.02142323805201379,0.8848987717149318
CPQ,183.27133858297265,-0.6229855284094148,0.2685784216321146,-2.319566570626249,0.02036433601093055,0.8848987717149318
PDLIM7,6.307517806814451,1.7275429962918207,0.731432088681929,2.3618638326422414,0.018183319626344775,0.8848987717149318
ATP2A1,5.307124377745271,1.609676750909284,0.6809228207813878,2.3639635826305714,0.018080589803995732,0.8848987717149318
GADD45G,3.50602772519785,2.2854970034145006,0.936578896640114,2.440261051806206,0.014676651782358295,0.8848987717149318
MCRIP2,3.2803737946502864,2.238654132844325,0.9423455504955321,2.3756191469966925,0.017519535223622484,0.8848987717149318
CDKAL1,380.9673728808122,-0.4427676690756454,0.1940572544299238,-2.2816342031445864,0.022510945631618377,0.8848987717149318
PRICKLE1,33.161001953039424,-0.9732803808455086,0.4261891962785124,-2.2836814948482997,0.02239025638486518,0.8848987717149318
AF117829.1,312.96779545924124,-0.5672678222197359,0.23098615297373404,-2.455852071289491,0.014055100074623444,0.8848987717149318
